cgpa,aptitude,communication,internship,training,coding,projects,placed
4.14,2,0,0,1,0,1,0
8.72,1,2,0,1,2,2,1
7.19,0,2,0,0,3,3,1
5.45,2,2,0,0,2,2,1
4.75,3,3,1,0,3,0,1
5.53,2,0,1,1,1,1,1
8.87,0,3,0,1,1,1,1
8.63,2,2,0,0,0,0,1
7.64,0,3,0,0,1,2,1
8.47,3,3,0,0,2,1,1
6.48,2,3,1,0,0,2,1
7.81,1,0,0,1,0,2,1
6.36,2,3,0,1,1,2,1
5.21,3,0,1,0,3,0,1
5.97,1,2,0,1,0,0,0
7.87,0,0,0,1,3,2,1
8.95,3,3,0,1,2,3,1
5.81,0,3,0,0,2,1,1
6.33,1,2,0,1,3,3,1
7.74,3,2,1,1,2,2,1
9.34,0,3,0,0,1,1,1
7.32,1,2,0,1,0,0,1
7.33,1,1,1,0,3,1,1
5.42,0,3,1,1,0,3,1
7.47,2,3,1,1,1,0,1
6.52,0,1,0,1,2,2,1
4.35,1,1,0,1,1,3,0
6.54,0,2,1,0,0,0,0
7.76,3,1,1,1,1,2,1
9.82,0,3,0,0,3,2,1
9.99,0,0,1,0,0,2,1
6.83,0,3,0,0,1,3,1
6.13,2,1,1,1,3,3,1
7.0,2,3,1,1,3,0,1
7.91,0,3,1,1,0,0,1
4.29,0,3,1,1,3,2,1
8.68,1,1,0,0,3,3,1
7.59,2,1,0,1,0,2,1
9.31,3,0,1,0,2,0,1
6.96,3,3,1,1,0,2,1
7.96,1,0,1,0,3,1,1
7.42,1,0,1,1,0,1,1
4.44,2,1,1,0,1,1,0
7.9,2,1,0,0,2,0,1
7.39,3,0,0,1,1,1,1
8.03,1,1,1,1,2,2,1
9.47,1,2,0,0,2,2,1
4.34,1,1,0,0,3,3,1
8.48,1,1,1,0,1,3,1
9.57,2,3,1,1,0,0,1
9.24,3,2,0,1,3,0,1
9.4,2,0,0,1,3,3,1
7.27,0,0,1,0,0,3,1
10.0,1,0,1,1,3,3,1
7.77,3,1,0,1,3,3,1
8.6,1,1,1,1,3,2,1
6.56,0,3,1,1,0,1,1
7.96,3,1,1,0,3,2,1
9.95,1,0,1,0,2,1,1
4.14,0,3,0,0,0,1,0
6.69,3,2,1,1,2,0,1
6.43,1,0,0,1,0,1,0
8.11,1,1,1,1,2,2,1
4.97,0,0,0,1,1,3,0
5.43,2,2,1,1,3,0,1
4.45,0,1,1,0,0,1,0
6.54,3,1,1,0,1,1,1
4.01,2,3,1,0,3,2,1
4.17,0,1,1,0,3,1,0
8.62,1,0,0,1,0,1,1
4.29,2,1,0,0,3,0,0
4.14,1,3,0,0,0,0,0
8.51,2,3,0,0,0,0,1
8.59,0,1,0,0,1,2,1
4.95,1,3,1,1,1,0,1
5.72,2,2,1,0,3,1,1
5.91,3,0,0,0,0,2,1
4.54,2,0,1,0,0,0,0
5.53,0,1,1,1,0,2,0
8.89,3,0,1,0,1,3,1
8.77,1,0,0,0,3,1,1
7.85,2,3,1,1,1,3,1
7.55,2,0,0,0,1,3,1
8.44,0,0,1,0,2,3,1
5.71,3,1,1,1,0,2,1
4.91,1,3,1,0,3,3,1
8.0,2,0,1,0,0,0,1
9.61,1,0,1,0,2,1,1
8.86,0,1,1,1,0,2,1
7.64,1,3,0,0,2,0,1
7.79,0,0,0,0,0,2,1
8.3,3,0,1,0,2,2,1
5.54,3,1,0,0,1,1,1
8.86,3,3,1,1,0,1,1
6.76,3,1,1,1,3,1,1
7.03,1,1,1,0,0,3,1
8.88,1,3,0,0,0,2,1
5.94,0,2,1,0,0,0,0
6.39,1,3,1,0,1,0,1
7.47,3,3,1,0,2,3,1
8.84,1,3,0,1,1,3,1
6.59,0,2,1,1,0,2,1
5.69,2,0,0,1,0,0,0
8.73,2,2,0,0,3,0,1
8.51,3,3,1,0,3,2,1
8.45,0,3,0,0,0,0,1
7.11,1,0,1,1,2,3,1
7.79,3,0,1,1,1,3,1
6.34,0,3,1,0,1,0,1
4.95,1,1,1,1,1,2,1
6.69,2,1,0,1,1,2,1
7.8,2,3,0,0,1,1,1
6.67,3,2,0,0,0,2,1
7.53,3,3,1,0,1,2,1
9.67,1,0,1,0,2,0,1
4.4,3,3,1,0,3,1,1
7.54,2,0,0,0,0,3,1
7.4,1,1,1,1,1,1,1
5.03,3,0,0,0,2,0,0
9.66,2,3,0,1,2,3,1
5.79,1,1,1,0,1,2,1
7.69,2,2,0,1,3,3,1
8.59,2,0,1,0,2,2,1
7.68,0,1,1,0,2,3,1
6.9,2,0,0,1,0,1,1
5.56,2,3,1,0,1,1,1
4.46,0,2,1,1,1,2,0
4.43,0,0,1,0,3,0,0
8.83,2,2,1,1,3,3,1
8.7,0,3,1,0,3,3,1
9.28,3,1,0,1,2,0,1
6.92,0,0,1,1,0,1,0
7.43,0,3,1,0,1,1,1
8.82,0,1,0,1,3,3,1
4.04,1,2,1,1,2,0,0
9.71,0,2,0,1,2,2,1
8.31,3,0,1,0,2,2,1
5.34,3,3,1,1,3,0,1
6.2,2,2,1,0,1,0,1
9.48,3,3,1,1,0,2,1
4.82,0,1,1,0,3,2,1
5.85,0,2,1,1,3,2,1
6.18,2,1,1,0,3,3,1
7.79,2,2,0,1,2,3,1
6.66,2,1,0,1,0,1,1
4.64,3,1,0,1,2,2,1
5.63,3,1,1,1,3,2,1
5.17,2,1,0,1,0,0,0
6.31,0,2,1,1,2,1,1
8.41,3,0,1,0,1,0,1
6.34,1,0,1,0,1,3,1
5.15,0,3,1,0,1,2,1
6.8,3,1,0,1,2,1,1
6.27,1,2,1,1,3,1,1
5.69,2,3,1,1,2,0,1
6.83,3,3,0,1,3,1,1
7.83,2,1,1,0,0,2,1
6.95,3,3,1,1,1,0,1
6.99,0,2,0,0,0,3,1
6.4,1,1,1,0,1,0,1
5.76,1,2,0,0,1,1,1
5.66,0,2,1,0,0,0,0
7.64,2,2,1,1,3,2,1
7.54,3,2,0,0,3,0,1
4.6,1,0,0,1,0,3,0
5.87,1,3,0,1,3,1,1
8.3,0,0,1,0,3,1,1
4.43,2,3,0,0,1,2,1
4.25,3,0,0,1,3,3,1
5.73,3,0,0,0,2,3,1
9.44,1,0,0,1,1,0,1
9.09,1,3,0,0,1,0,1
9.52,1,2,0,1,3,3,1
8.15,3,1,0,1,0,0,1
9.11,2,1,0,1,0,2,1
5.31,2,3,1,0,3,2,1
5.44,1,2,0,1,3,1,1
8.18,1,1,0,0,0,0,1
4.23,2,2,0,1,0,2,0
8.45,0,1,0,1,2,2,1
5.91,0,0,0,1,0,1,0
8.33,0,0,0,0,1,0,1
9.69,0,3,1,0,1,0,1
6.36,3,0,1,0,2,1,1
9.0,0,3,1,0,0,2,1
8.32,2,2,1,0,3,2,1
7.78,2,0,0,0,3,3,1
5.89,3,1,1,1,1,2,1
7.8,3,0,0,1,1,0,1
7.95,2,0,1,1,2,2,1
6.62,1,0,1,0,3,1,1
9.47,3,2,1,0,1,0,1
5.08,3,3,1,0,1,2,1
4.62,2,0,0,0,3,1,1
9.37,0,3,1,0,1,3,1
6.72,2,1,0,0,3,0,1
4.2,0,0,1,0,1,0,0
4.03,2,3,0,1,2,1,1
6.91,2,1,0,0,2,2,1
9.27,3,1,1,0,1,0,1
6.31,0,0,1,0,1,3,1
7.85,3,0,0,1,3,1,1
7.68,2,1,1,0,3,1,1
9.13,2,1,1,0,0,2,1
4.48,2,2,1,1,2,0,1
7.21,3,1,0,0,2,3,1
8.04,1,1,1,0,3,0,1
9.19,1,1,0,1,2,1,1
5.37,1,2,1,0,3,0,1
4.66,0,1,0,1,0,0,0
7.35,0,0,0,0,0,3,1
9.63,1,2,1,1,3,1,1
7.32,2,1,1,0,2,1,1
8.28,2,3,0,1,0,2,1
7.38,3,3,1,0,3,3,1
6.34,3,1,0,0,0,0,1
5.74,0,2,0,0,3,3,1
8.29,3,0,1,0,3,0,1
6.87,0,3,0,0,1,0,1
8.06,0,1,0,1,0,2,1
7.99,1,2,0,0,2,1,1
9.24,2,3,1,1,1,1,1
4.09,3,0,0,0,1,3,1
9.42,3,1,1,1,3,1,1
6.62,1,0,0,0,1,2,1
9.45,3,3,1,0,2,0,1
5.09,3,3,1,0,1,2,1
6.44,1,2,0,0,3,2,1
8.72,3,3,1,0,0,3,1
6.89,3,3,0,0,0,1,1
6.99,1,1,1,1,0,0,1
7.5,3,1,1,1,0,0,1
7.51,3,0,0,1,2,1,1
9.33,2,1,1,0,1,2,1
4.27,3,0,0,0,3,3,1
5.8,2,0,1,0,1,0,0
7.83,3,0,1,0,3,3,1
7.56,0,2,1,0,1,3,1
5.48,1,1,1,0,0,1,0
9.51,2,3,1,1,0,2,1
5.18,3,1,0,0,3,2,1
6.43,1,0,1,0,1,3,1
7.12,0,0,0,0,0,2,0
6.08,1,2,0,0,2,0,1
5.57,1,0,0,1,0,2,0
4.31,1,3,1,1,2,3,1
5.71,1,1,0,1,3,3,1
4.73,1,0,1,1,3,3,1
6.53,2,3,0,1,0,2,1
5.66,3,0,1,1,1,3,1
5.39,2,0,0,1,1,2,1
8.61,1,2,1,1,2,3,1
9.47,1,1,1,1,0,3,1
8.52,0,2,1,1,1,0,1
4.97,1,2,0,0,2,1,1
8.54,2,0,1,1,0,1,1
4.8,1,3,0,0,3,3,1
8.62,1,1,1,0,2,2,1
7.61,1,2,0,1,2,0,1
4.01,1,3,1,1,0,3,1
7.52,1,3,1,0,1,0,1
7.04,3,1,1,1,1,3,1
9.7,1,2,1,0,0,0,1
5.47,2,3,0,1,1,1,1
8.03,3,3,1,1,3,0,1
4.55,1,0,0,0,2,2,0
5.1,1,0,0,0,1,2,0
7.11,2,1,1,1,1,1,1
8.42,3,1,1,1,3,2,1
9.35,0,1,1,1,1,1,1
4.48,0,3,1,1,0,0,0
4.92,0,0,1,1,0,3,0
7.59,0,1,0,0,1,2,1
6.81,0,3,0,1,2,3,1
6.42,1,2,1,1,1,0,1
4.84,1,0,0,0,1,3,0
4.14,1,1,0,0,2,0,0
7.6,3,0,1,1,3,0,1
6.42,1,2,0,0,2,0,1
5.73,2,0,0,0,1,0,0
4.86,2,2,1,0,2,1,1
5.72,1,2,1,1,0,0,0
4.54,1,1,0,1,1,2,0
8.41,3,2,1,0,1,2,1
4.97,1,0,1,0,1,0,0
6.45,2,2,0,0,3,2,1
8.16,0,1,1,0,2,0,1
8.94,0,0,1,0,0,2,1
9.76,1,0,0,0,0,2,1
4.37,2,1,1,1,2,0,1
6.97,3,0,1,1,3,3,1
9.32,2,0,1,0,3,0,1
6.71,3,0,1,1,1,0,1
7.07,2,3,0,0,2,0,1
8.53,2,0,1,0,0,0,1
6.75,1,1,1,1,3,1,1
6.53,3,0,0,0,1,3,1
4.76,0,1,0,1,3,1,0
8.92,3,0,1,1,2,2,1
7.75,2,1,0,0,3,0,1
5.56,3,1,1,1,1,3,1
7.09,3,2,0,0,0,3,1
9.49,3,0,0,0,2,2,1
4.94,2,2,0,0,0,0,0
9.48,0,1,1,0,0,0,1
4.18,3,1,0,0,2,1,1
5.93,2,1,1,0,0,1,1
9.08,3,1,1,1,0,0,1
9.09,3,3,0,1,0,0,1
5.51,1,0,1,1,2,3,1
5.48,0,3,0,0,3,0,1
8.38,1,1,1,1,1,0,1
9.92,1,1,1,1,2,3,1
9.53,1,3,0,1,3,1,1
4.43,1,0,1,1,0,1,0
8.1,3,0,0,0,1,0,1
7.17,2,2,1,1,3,2,1
9.32,2,0,0,0,2,1,1
7.21,2,3,1,1,2,3,1
9.56,3,3,0,0,1,2,1
6.46,3,2,0,1,1,0,1
8.6,3,3,1,1,1,1,1
5.4,2,2,0,0,3,1,1
9.32,0,3,0,0,0,2,1
4.76,0,2,0,1,0,3,0
4.56,3,3,0,0,0,3,1
4.8,1,1,0,1,1,0,0
9.36,3,1,0,0,0,0,1
5.19,0,3,0,1,3,0,1
6.33,2,3,1,1,0,2,1
4.39,0,3,1,1,1,2,1
5.49,3,3,0,1,0,1,1
6.91,2,1,1,0,0,0,1
8.57,0,3,1,1,0,3,1
9.48,3,1,1,0,0,3,1
4.38,2,1,0,0,1,3,1
4.97,1,1,0,0,1,3,1
7.96,1,3,1,0,1,2,1
7.08,2,3,1,1,0,2,1
7.3,3,1,1,0,0,3,1
9.5,0,1,0,0,1,3,1
7.6,3,1,0,0,1,1,1
8.34,3,0,1,0,1,2,1
7.11,3,3,0,1,3,3,1
8.79,0,0,1,0,2,1,1
8.1,2,2,1,0,3,3,1
6.69,1,1,0,0,2,1,1
8.29,1,3,0,1,2,2,1
9.46,0,3,1,0,3,1,1
8.18,3,2,1,1,2,2,1
6.74,2,1,0,1,0,1,1
7.0,1,1,0,1,0,0,0
9.49,3,1,0,1,1,3,1
6.15,1,2,1,0,2,0,1
5.99,1,0,1,1,3,1,1
9.55,2,3,1,1,0,0,1
6.31,2,3,1,1,2,1,1
8.43,0,3,1,1,3,2,1
4.54,2,2,1,0,1,3,1
8.25,2,3,0,0,2,3,1
8.7,0,2,0,0,1,2,1
8.35,2,3,0,1,2,0,1
7.14,1,1,1,1,0,3,1
7.89,3,0,1,1,3,0,1
5.77,0,1,0,1,3,0,1
4.22,1,1,1,1,1,2,0
7.76,3,1,1,0,0,1,1
8.71,3,0,1,1,3,0,1
5.39,2,2,0,1,3,3,1
4.98,1,1,1,1,1,3,1
8.52,1,2,1,0,2,3,1
4.17,3,1,1,1,3,3,1
9.88,0,3,1,0,0,2,1
6.94,2,1,0,0,0,1,1
9.15,2,0,1,0,0,3,1
6.75,3,2,1,0,1,2,1
5.22,3,3,0,1,3,3,1
6.14,0,1,0,1,3,2,1
6.13,0,0,1,0,0,0,0
5.78,2,0,1,1,3,1,1
8.81,2,3,1,0,3,1,1
7.62,2,2,0,1,2,0,1
9.42,2,1,0,0,2,1,1
8.89,2,0,0,0,1,3,1
8.97,1,1,0,1,1,2,1
6.84,1,3,0,0,0,1,1
9.07,3,3,1,0,1,3,1
4.42,3,2,0,0,2,0,1
5.24,0,1,0,0,2,0,0
6.99,3,2,0,0,3,1,1
5.74,3,3,0,1,0,1,1
8.82,0,1,0,1,1,2,1
9.39,0,2,1,0,1,1,1
4.64,2,2,0,1,0,2,1
7.32,1,1,1,0,0,1,1
4.47,1,3,0,1,3,1,1
4.95,3,0,0,1,0,1,0
9.63,3,3,1,0,3,2,1
7.9,1,2,0,1,3,1,1
8.48,1,1,1,0,3,2,1
8.43,2,2,0,0,2,0,1
7.31,3,1,1,0,3,0,1
5.79,1,1,0,1,2,1,1
7.64,1,0,1,0,0,1,1
7.59,1,0,1,0,0,2,1
8.43,3,0,0,1,0,3,1
8.27,1,3,1,0,0,1,1
9.0,3,2,0,1,3,3,1
5.38,3,0,1,0,0,2,1
6.31,1,3,1,0,3,3,1
6.61,2,1,0,0,1,1,1
6.86,1,2,1,0,1,2,1
5.2,2,1,0,1,0,1,0
9.19,2,3,0,0,3,2,1
9.41,0,0,1,1,0,1,1
9.03,0,2,1,1,2,3,1
6.19,1,2,1,0,2,1,1
9.51,0,2,0,1,3,2,1
9.43,1,1,0,1,3,2,1
7.42,1,1,0,0,3,0,1
9.14,3,3,1,0,2,1,1
8.44,3,3,1,1,0,3,1
4.59,3,2,0,0,3,3,1
9.34,3,2,0,1,0,0,1
9.62,0,2,1,0,0,3,1
9.84,1,0,0,0,0,3,1
6.95,2,0,0,1,1,0,1
4.49,2,3,0,0,0,0,0
5.93,0,2,1,1,2,1,1
8.47,0,2,1,0,3,3,1
7.88,2,3,1,1,2,3,1
5.62,2,3,0,0,3,2,1
7.25,0,3,0,0,3,1,1
7.4,2,1,1,0,2,3,1
7.35,2,1,1,0,0,0,1
8.14,0,2,1,0,2,2,1
4.36,1,0,1,1,1,2,0
6.87,3,2,1,1,3,2,1
7.32,2,1,0,0,1,3,1
6.68,0,0,1,1,1,1,1
9.77,3,0,1,0,1,2,1
7.44,2,0,0,1,2,1,1
5.09,3,3,1,1,1,1,1
8.39,1,0,1,1,2,3,1
8.2,3,2,1,0,2,3,1
8.41,1,0,1,1,1,1,1
9.95,2,3,0,1,0,3,1
4.62,1,0,0,0,3,0,0
4.28,0,2,0,0,0,1,0
8.99,2,2,0,0,1,2,1
5.56,0,1,0,1,1,2,0
8.07,0,1,0,1,1,3,1
7.25,2,2,0,1,3,3,1
7.76,3,2,0,0,2,1,1
7.83,2,2,1,0,0,3,1
8.29,3,2,1,0,3,0,1
5.49,1,2,1,1,1,3,1
5.63,1,3,0,1,2,0,1
5.04,0,1,1,0,0,1,0
8.37,3,3,1,1,3,0,1
9.51,3,1,1,0,0,0,1
6.65,1,2,0,0,2,3,1
4.82,0,1,0,1,1,1,0
4.63,0,3,0,0,1,2,0
5.57,0,3,0,0,0,2,0
6.58,0,0,0,0,1,2,0
5.81,1,1,0,1,3,1,1
5.44,2,0,1,0,1,0,0
6.05,2,0,0,0,2,3,1
9.17,1,0,1,0,1,0,1
9.45,2,1,0,1,2,2,1
6.38,3,2,1,0,0,2,1
8.08,3,3,1,1,0,3,1
8.49,2,1,1,1,0,1,1
4.04,3,2,0,0,3,3,1
7.9,3,0,1,0,1,1,1
5.5,1,0,1,0,3,0,1
6.12,2,0,0,1,1,0,0
9.71,3,0,0,1,1,1,1
9.23,2,3,1,1,1,2,1
6.43,2,3,1,1,3,3,1
9.25,0,0,1,0,3,3,1
6.26,1,1,1,1,2,2,1
9.06,3,1,0,1,1,2,1
4.74,1,1,1,0,0,3,0
4.15,0,3,0,1,3,0,0
4.36,3,0,0,0,1,2,0
7.11,3,3,0,1,3,1,1
8.97,2,1,0,1,3,1,1
5.76,3,3,1,0,3,3,1
6.17,0,3,1,0,0,3,1
6.95,2,1,1,1,0,2,1
6.41,2,1,1,1,0,1,1
4.1,0,0,0,1,2,1,0
7.07,0,2,1,1,2,2,1
7.03,2,2,1,0,3,2,1
8.46,2,3,0,1,1,3,1
6.21,3,2,1,1,1,2,1
5.64,0,2,0,0,1,3,1
9.19,1,2,1,0,3,3,1
9.13,1,2,0,0,1,3,1
5.25,3,3,0,1,0,2,1
5.97,3,3,1,0,3,0,1
6.86,0,2,0,1,2,2,1
4.3,3,3,1,0,1,3,1
9.62,0,2,1,0,0,3,1
9.41,2,2,1,0,3,2,1
4.53,2,3,1,0,1,0,1
9.4,0,0,0,1,3,0,1
4.82,1,1,0,1,0,0,0
8.04,0,3,1,0,1,1,1
8.08,0,0,1,1,0,0,1
6.83,3,1,0,0,2,1,1
4.9,2,1,1,1,1,1,1
9.99,2,3,0,0,1,1,1
9.86,3,1,1,1,2,2,1
6.96,2,0,1,0,3,0,1
4.61,1,0,1,0,1,1,0
6.86,0,0,0,0,1,3,1
8.1,2,1,1,1,1,3,1
4.89,0,3,0,0,0,0,0
5.84,2,3,1,1,3,1,1
5.36,3,0,1,0,1,1,1
7.51,1,1,1,0,3,2,1
4.35,1,3,0,0,1,2,0
4.04,1,1,1,1,1,2,0
7.21,2,2,1,0,3,0,1
9.19,2,1,1,1,1,3,1
6.02,3,2,0,1,3,3,1
8.66,3,1,1,0,3,1,1
8.24,0,0,1,0,3,1,1
9.72,3,3,0,0,0,2,1
6.32,0,0,0,0,0,0,0
6.17,2,3,1,1,1,0,1
9.95,0,2,1,1,3,1,1
9.3,1,1,0,0,3,0,1
7.28,2,1,1,1,1,0,1
4.31,1,1,1,1,0,0,0
8.04,2,1,0,1,0,1,1
8.31,3,1,0,1,0,2,1
7.87,3,3,0,1,3,2,1
5.77,3,3,0,0,2,0,1
4.22,3,2,0,0,3,1,1
8.64,1,1,0,1,0,3,1
4.52,3,0,0,0,3,1,1
4.73,2,2,1,1,3,0,1
5.95,2,0,0,1,1,0,0
6.03,2,1,1,1,3,2,1
9.18,3,3,1,0,2,0,1
8.65,3,1,1,1,2,0,1
6.8,2,1,0,1,1,1,1
6.89,2,0,0,1,1,1,1
8.22,2,1,0,0,0,2,1
5.58,1,0,1,0,3,3,1
7.89,1,1,1,0,2,2,1
6.88,1,2,1,1,0,3,1
8.33,0,3,0,1,3,1,1
7.53,3,3,1,0,1,1,1
7.64,2,1,1,0,3,2,1
5.66,2,0,1,0,0,0,0
8.93,1,3,1,0,1,3,1
7.74,1,1,1,1,2,0,1
5.71,2,2,1,0,1,3,1
8.1,1,1,0,1,1,3,1
4.6,3,3,1,1,0,2,1
5.67,3,0,1,0,2,3,1
5.51,2,1,1,1,1,1,1
7.01,1,1,1,1,0,0,1
8.58,3,0,0,0,3,2,1
8.81,0,3,1,0,1,3,1
8.31,2,3,0,0,2,3,1
8.98,2,2,0,0,3,2,1
4.24,2,1,1,1,0,2,0
5.88,2,3,0,1,0,2,1
4.15,2,2,0,0,2,1,1
7.63,0,1,1,0,1,1,1
7.82,2,3,0,0,2,2,1
8.14,0,1,0,0,1,0,1
9.39,1,1,0,1,2,0,1
4.25,3,3,0,1,0,2,1
4.36,1,3,0,0,1,2,0
4.84,0,0,1,1,2,3,1
8.47,3,3,0,0,2,3,1
9.08,0,1,0,1,0,1,1
9.23,2,1,0,1,2,0,1
9.46,3,0,1,0,0,3,1
6.22,0,1,0,1,3,1,1
6.21,3,0,1,1,1,3,1
5.82,1,3,0,1,0,3,1
4.05,2,2,0,1,3,1,1
4.54,0,2,1,0,1,1,0
7.88,0,0,1,1,2,3,1
7.83,0,3,1,0,0,3,1
6.43,3,3,0,1,2,0,1
8.97,3,0,1,1,3,3,1
7.76,3,2,0,1,0,2,1
4.83,2,3,0,1,1,3,1
5.5,2,2,0,1,2,2,1
8.39,0,3,1,1,3,3,1
9.01,0,1,0,1,2,3,1
7.72,1,0,1,0,2,2,1
9.87,0,2,0,1,0,3,1
4.11,3,0,1,0,0,1,0
6.41,2,0,1,0,1,0,1
4.48,0,3,0,1,0,1,0
4.31,0,1,0,1,1,3,0
5.49,0,1,1,1,3,2,1
6.68,0,0,0,1,1,3,1
6.49,1,1,1,0,0,3,1
8.39,0,1,1,0,1,2,1
8.18,3,1,0,1,0,1,1
5.62,1,0,0,0,2,3,1
6.48,0,0,1,1,2,2,1
9.87,1,1,0,1,3,1,1
6.73,0,1,0,0,1,1,0
8.91,0,3,0,0,2,0,1
8.92,0,3,0,1,1,0,1
4.71,0,3,1,1,2,1,1
6.7,1,3,1,0,0,3,1
4.6,3,0,1,1,2,2,1
9.83,0,3,0,1,3,2,1
9.78,1,1,0,1,1,3,1
5.38,0,0,0,0,2,2,0
5.78,0,1,1,1,1,0,0
4.89,2,3,0,1,3,0,1
8.51,1,3,0,0,1,0,1
8.78,2,3,1,0,0,2,1
4.47,1,0,1,0,0,0,0
9.1,0,3,0,1,2,0,1
6.11,1,2,1,1,0,3,1
6.75,2,2,0,0,2,0,1
9.65,1,3,1,0,0,1,1
6.15,1,3,0,1,2,3,1
9.41,0,1,0,0,3,1,1
9.68,1,2,1,1,3,1,1
8.35,2,2,0,0,0,1,1
4.49,0,2,0,0,2,3,1
6.14,2,3,0,0,2,0,1
4.92,1,2,0,0,0,0,0
8.56,2,2,1,0,1,0,1
4.34,1,1,1,1,0,0,0
7.76,2,3,1,1,0,0,1
9.58,3,1,1,0,2,0,1
8.12,2,1,1,0,2,2,1
8.45,0,2,1,1,3,2,1
9.4,1,1,1,1,1,3,1
7.07,1,2,1,1,0,1,1
5.19,2,0,1,0,0,3,1
9.82,0,2,1,0,2,2,1
6.03,0,2,0,1,0,3,1
6.38,0,1,1,1,3,1,1
6.55,1,0,1,0,1,1,1
4.42,0,2,0,1,0,0,0
8.67,1,3,0,0,2,0,1
6.5,3,3,0,1,2,3,1
8.16,3,0,0,1,1,3,1
4.44,0,1,1,1,3,3,1
9.57,1,1,0,1,2,2,1
4.15,0,2,1,0,3,1,0
5.62,0,0,0,1,2,2,0
4.18,0,3,1,0,2,0,0
8.61,1,1,1,1,2,3,1
8.84,0,2,1,0,1,2,1
5.1,0,3,1,0,2,1,1
4.55,1,2,1,1,0,3,1
5.48,1,3,1,0,3,3,1
5.97,2,0,0,1,0,1,0
8.16,2,1,0,1,1,1,1
8.2,1,1,0,1,3,3,1
6.04,0,3,1,1,2,3,1
6.42,3,0,1,0,1,0,1
5.56,1,1,0,1,3,1,1
7.21,0,1,0,0,2,3,1
5.32,0,2,1,1,2,2,1
7.56,0,2,1,0,1,1,1
7.94,0,0,1,0,1,1,1
8.28,3,3,0,0,0,1,1
7.12,2,0,1,0,1,1,1
5.57,1,2,1,1,2,1,1
5.47,0,2,1,1,1,2,1
8.7,1,3,1,0,3,3,1
6.8,0,1,0,1,2,1,1
4.12,2,2,1,1,3,1,1
6.57,0,2,1,0,1,3,1
8.12,3,2,1,1,1,3,1
7.68,2,1,0,0,1,3,1
8.82,1,3,0,0,2,3,1
5.95,2,1,1,0,1,0,1
4.63,0,2,1,1,2,3,1
7.85,2,1,1,0,0,1,1
8.98,2,3,1,1,2,3,1
7.37,2,2,1,0,1,1,1
4.35,2,3,0,0,1,1,1
5.99,3,0,1,0,1,2,1
8.82,1,3,1,1,0,3,1
9.37,3,0,1,0,0,1,1
9.34,0,3,0,0,3,1,1
8.01,0,2,0,0,0,1,1
9.21,3,3,1,1,0,3,1
5.48,0,2,1,0,2,2,1
4.01,2,0,0,0,2,3,0
5.07,3,1,1,1,3,2,1
8.24,1,3,0,1,3,3,1
5.1,1,1,1,1,1,3,1
4.49,2,3,1,1,1,1,1
8.4,1,2,0,0,3,0,1
4.9,3,3,0,1,2,0,1
8.72,3,1,1,1,2,3,1
8.09,0,3,0,1,1,1,1
9.59,0,1,1,1,3,3,1
9.89,1,2,1,1,2,2,1
6.55,2,2,1,0,1,2,1
7.84,0,3,0,0,3,3,1
5.11,2,3,1,1,1,2,1
5.63,1,3,0,1,0,0,0
4.46,1,0,1,1,0,3,0
6.24,2,0,0,0,1,0,0
7.67,2,1,1,1,3,1,1
8.32,1,3,0,1,3,2,1
4.71,1,1,1,1,3,1,1
8.94,2,2,1,0,1,2,1
9.04,1,1,0,0,3,1,1
7.36,1,2,0,0,3,2,1
8.08,2,1,0,1,3,1,1
5.06,1,1,1,1,0,3,1
6.06,2,2,1,0,0,2,1
5.32,2,2,1,1,2,3,1
6.82,2,3,0,1,0,0,1
5.23,1,0,0,1,1,2,0
8.13,1,0,0,0,3,1,1
4.82,3,2,0,1,3,1,1
9.9,2,1,0,0,2,2,1
6.6,2,2,1,0,2,2,1
8.6,1,2,0,1,2,1,1
6.95,0,0,0,1,1,2,1
8.0,2,3,1,1,0,0,1
5.11,0,2,0,0,0,1,0
9.75,2,2,1,0,0,3,1
8.53,0,1,0,1,3,3,1
5.94,2,0,1,1,0,1,1
7.24,1,0,1,1,1,2,1
9.83,2,1,0,0,2,3,1
5.67,2,3,0,0,2,0,1
5.6,0,2,1,1,1,2,1
5.71,0,2,1,1,0,0,0
8.68,3,1,1,0,1,0,1
6.09,0,2,0,1,2,1,1
9.29,3,2,0,0,3,1,1
5.26,1,0,0,0,1,3,0
9.78,2,1,0,0,0,1,1
5.73,0,1,0,0,3,2,1
9.01,1,0,0,1,1,2,1
5.3,0,1,1,0,2,1,0
5.4,1,1,0,0,0,2,0
9.85,0,3,0,0,2,1,1
7.05,2,0,0,1,1,1,1
7.22,0,0,0,0,2,0,0
6.57,2,2,0,1,1,0,1
9.83,1,0,0,0,3,3,1
9.29,3,0,0,0,0,3,1
8.65,2,0,1,0,0,2,1
7.37,1,3,1,0,2,2,1
6.39,0,1,0,0,1,0,0
7.48,3,2,0,0,0,0,1
5.27,0,2,0,1,1,2,1
5.99,2,3,0,0,3,1,1
9.5,3,3,1,0,0,2,1
5.02,1,0,0,1,3,0,0
4.97,2,0,0,0,1,0,0
4.16,1,1,0,1,0,2,0
6.73,3,0,1,0,2,2,1
8.42,3,1,0,1,0,2,1
9.6,0,1,0,0,2,3,1
5.97,0,0,0,0,0,1,0
9.0,0,3,1,0,3,0,1
8.86,3,1,0,0,0,1,1
